skills_count,projects_count,experience_years,certifications,internship,readiness_level
2,7,3,2,1,Not Ready
14,8,2,0,1,Ready
15,1,1,0,0,Not Ready
6,0,1,3,0,Not Ready
3,6,2,0,0,Not Ready
5,5,1,2,0,Not Ready
5,3,2,1,1,Not Ready
8,8,2,2,1,Almost Ready
13,0,0,2,1,Not Ready
15,3,3,5,1,Almost Ready
7,8,1,1,0,Almost Ready
6,0,1,5,0,Not Ready
4,7,1,5,0,Not Ready
5,2,0,2,0,Not Ready
10,0,1,3,1,Not Ready
11,5,2,4,0,Ready
7,1,0,3,0,Not Ready
2,6,2,2,0,Not Ready
6,3,2,1,0,Almost Ready
13,8,3,3,0,Ready
4,1,1,2,1,Not Ready
4,3,3,3,1,Not Ready
2,3,3,5,0,Not Ready
14,0,3,5,1,Not Ready
8,2,2,4,0,Almost Ready
3,4,3,4,1,Not Ready
6,4,0,4,0,Almost Ready
7,3,2,0,0,Almost Ready
6,3,3,5,0,Almost Ready
11,6,2,0,1,Ready
3,7,2,0,0,Not Ready
10,2,3,2,0,Almost Ready
4,1,0,1,0,Not Ready
11,0,1,2,1,Not Ready
4,8,2,3,1,Not Ready
3,6,0,2,0,Not Ready
4,8,2,0,1,Not Ready
2,7,1,4,1,Not Ready
1,8,3,4,0,Not Ready
1,0,2,2,0,Not Ready
5,0,2,5,1,Not Ready
3,8,2,4,0,Not Ready
12,6,1,0,1,Ready
5,2,0,2,0,Not Ready
9,7,0,4,1,Almost Ready
7,7,0,5,0,Almost Ready
10,5,2,4,0,Ready
5,8,2,4,1,Not Ready
7,3,1,4,1,Almost Ready
5,3,3,0,0,Not Ready
9,8,0,2,0,Almost Ready
10,3,1,5,0,Almost Ready
12,4,1,4,0,Ready
1,6,2,0,0,Not Ready
5,7,2,0,1,Not Ready
15,2,0,0,0,Almost Ready
2,4,0,2,0,Not Ready
15,7,3,5,1,Ready
10,8,2,5,1,Ready
12,0,1,5,0,Not Ready
3,3,0,1,1,Not Ready
11,5,1,5,1,Ready
13,2,2,4,0,Almost Ready
7,0,2,5,0,Not Ready
5,1,1,4,1,Not Ready
12,7,0,3,1,Almost Ready
14,1,0,2,0,Not Ready
3,3,2,0,1,Not Ready
13,4,1,5,0,Ready
9,8,3,2,1,Almost Ready
4,4,2,1,1,Not Ready
15,2,0,3,1,Almost Ready
9,0,2,3,1,Not Ready
6,2,2,5,0,Almost Ready
12,3,0,5,1,Almost Ready
8,1,2,4,1,Not Ready
1,2,2,3,0,Not Ready
12,6,0,2,0,Almost Ready
15,7,2,4,1,Ready
12,8,1,4,0,Ready
2,6,1,0,0,Not Ready
13,3,0,5,0,Almost Ready
11,8,0,4,1,Almost Ready
14,6,3,2,0,Ready
2,5,2,2,1,Not Ready
9,0,2,4,1,Not Ready
9,5,1,1,1,Almost Ready
5,5,1,5,1,Not Ready
7,2,2,0,0,Almost Ready
15,2,2,0,0,Almost Ready
14,3,0,3,0,Almost Ready
9,6,0,2,0,Almost Ready
5,0,3,5,1,Not Ready
10,2,0,5,1,Almost Ready
4,2,2,2,1,Not Ready
15,4,0,0,0,Almost Ready
8,7,2,0,1,Almost Ready
6,5,3,4,0,Almost Ready
15,6,1,1,1,Ready
3,7,3,2,1,Not Ready
4,2,1,2,0,Not Ready
4,3,3,2,0,Not Ready
2,7,0,3,1,Not Ready
10,7,2,3,0,Ready
3,5,2,0,1,Not Ready
9,1,0,0,0,Not Ready
2,2,2,5,0,Not Ready
8,0,1,3,1,Not Ready
8,4,1,1,0,Almost Ready
6,7,1,1,1,Almost Ready
5,5,1,1,1,Not Ready
1,7,3,3,1,Not Ready
11,1,0,4,1,Not Ready
5,3,0,4,1,Not Ready
4,4,3,2,1,Not Ready
5,8,1,0,0,Not Ready
5,4,1,5,1,Not Ready
4,7,0,2,1,Not Ready
15,3,1,5,1,Almost Ready
11,0,0,3,1,Not Ready
10,4,2,1,0,Ready
10,5,1,0,1,Ready
9,1,0,1,0,Not Ready
5,6,1,0,1,Not Ready
11,8,3,4,0,Ready
9,4,0,2,1,Almost Ready
11,8,2,4,0,Ready
2,1,2,2,0,Not Ready
10,6,2,0,1,Ready
12,0,0,1,0,Not Ready
15,7,2,0,1,Ready
13,2,0,2,1,Almost Ready
15,4,1,3,0,Ready
11,6,3,0,0,Ready
6,5,0,1,0,Almost Ready
4,8,0,5,0,Not Ready
15,8,1,5,0,Ready
3,5,3,1,0,Not Ready
13,8,1,5,0,Ready
3,7,3,3,1,Not Ready
9,8,1,0,0,Almost Ready
3,3,0,0,1,Not Ready
11,6,0,3,0,Almost Ready
3,0,2,2,1,Not Ready
11,6,1,1,0,Ready
1,7,1,4,0,Not Ready
12,0,1,3,0,Not Ready
10,3,2,3,0,Almost Ready
9,4,0,5,0,Almost Ready
4,4,2,3,0,Not Ready
13,2,0,1,1,Almost Ready
15,4,1,0,0,Ready
8,8,0,0,0,Almost Ready
14,4,0,5,1,Almost Ready
7,0,1,2,1,Not Ready
13,3,0,5,0,Almost Ready
10,4,0,0,1,Almost Ready
5,1,3,4,1,Not Ready
5,0,1,3,0,Not Ready
9,4,3,5,1,Almost Ready
1,0,1,1,0,Not Ready
3,2,1,5,0,Not Ready
12,8,1,2,0,Ready
8,4,3,4,1,Almost Ready
9,4,0,5,1,Almost Ready
5,1,3,5,1,Not Ready
12,5,1,0,1,Ready
11,7,0,3,0,Almost Ready
6,1,0,1,0,Not Ready
8,6,0,2,0,Almost Ready
12,5,3,2,0,Ready
7,6,3,3,1,Almost Ready
1,5,3,2,1,Not Ready
6,4,1,3,1,Almost Ready
8,4,2,0,1,Almost Ready
15,5,0,0,0,Almost Ready
1,5,0,3,1,Not Ready
9,4,2,0,1,Almost Ready
1,1,0,5,1,Not Ready
5,1,1,0,1,Not Ready
12,0,0,1,1,Not Ready
1,4,1,3,1,Not Ready
11,5,0,0,1,Almost Ready
6,8,3,4,0,Almost Ready
11,6,0,0,1,Almost Ready
4,1,2,4,1,Not Ready
3,2,0,2,0,Not Ready
13,7,1,1,0,Ready
2,8,3,3,0,Not Ready
3,8,2,3,0,Not Ready
1,8,2,1,1,Not Ready
9,6,0,0,0,Almost Ready
2,1,0,2,0,Not Ready
4,0,2,1,0,Not Ready
15,4,0,3,1,Almost Ready
4,0,3,5,0,Not Ready
7,0,2,3,1,Not Ready
8,0,2,1,1,Not Ready
13,1,2,1,1,Not Ready
5,6,3,5,0,Not Ready
9,2,1,4,0,Almost Ready
12,0,0,3,1,Not Ready
9,1,3,1,1,Not Ready
11,7,1,1,0,Ready
5,6,0,1,0,Not Ready
13,2,1,1,0,Almost Ready
11,2,1,5,1,Almost Ready
6,5,1,0,1,Almost Ready
14,6,1,4,0,Ready
5,4,0,3,1,Not Ready
13,6,2,4,0,Ready
5,2,3,4,1,Not Ready
4,0,3,3,1,Not Ready
12,2,0,3,1,Almost Ready
4,0,0,2,1,Not Ready
5,8,1,2,0,Not Ready
10,5,2,1,0,Ready
2,4,3,4,0,Not Ready
7,8,3,1,0,Almost Ready
1,8,0,5,1,Not Ready
5,0,0,3,0,Not Ready
3,8,1,3,0,Not Ready
5,7,2,2,1,Not Ready
6,8,1,3,0,Almost Ready
8,2,3,2,0,Almost Ready
7,1,0,3,1,Not Ready
12,0,1,1,0,Not Ready
2,0,3,2,1,Not Ready
15,7,1,4,0,Ready
1,2,3,0,1,Not Ready
9,5,2,0,1,Almost Ready
7,5,3,3,1,Almost Ready
1,6,1,0,0,Not Ready
2,2,0,5,0,Not Ready
8,4,2,1,0,Almost Ready
6,7,1,2,0,Almost Ready
14,6,3,0,0,Ready
1,4,1,1,0,Not Ready
14,7,0,3,0,Almost Ready
11,6,0,3,1,Almost Ready
7,4,0,0,0,Almost Ready
11,7,2,0,1,Ready
3,8,3,1,0,Not Ready
4,0,3,4,1,Not Ready
8,2,3,0,1,Almost Ready
5,2,0,1,1,Not Ready
9,4,0,0,0,Almost Ready
8,8,1,2,1,Almost Ready
6,3,2,2,1,Almost Ready
5,3,2,2,1,Not Ready
12,6,2,2,1,Ready
3,2,1,1,1,Not Ready
11,8,2,2,1,Ready
6,7,0,3,1,Almost Ready
3,7,3,2,0,Not Ready
7,5,0,5,0,Almost Ready
3,1,3,0,0,Not Ready
10,1,2,1,1,Not Ready
7,3,3,3,1,Almost Ready
3,6,2,2,1,Not Ready
14,5,2,4,1,Ready
10,4,1,0,1,Ready
13,6,1,1,0,Ready
5,3,0,3,0,Not Ready
15,1,3,1,1,Not Ready
2,4,3,2,1,Not Ready
6,0,0,3,1,Not Ready
4,6,2,0,0,Not Ready
10,6,0,1,0,Almost Ready
8,1,0,5,0,Not Ready
2,4,3,1,1,Not Ready
8,7,2,2,1,Almost Ready
11,5,0,2,0,Almost Ready
9,8,2,2,0,Almost Ready
9,4,0,4,1,Almost Ready
3,6,2,2,1,Not Ready
8,8,3,5,0,Almost Ready
5,6,1,5,1,Not Ready
15,1,2,2,0,Not Ready
1,5,1,0,1,Not Ready
10,7,1,4,1,Ready
5,2,3,1,1,Not Ready
9,7,2,2,1,Almost Ready
2,1,1,1,0,Not Ready
2,2,1,0,1,Not Ready
15,1,2,1,1,Not Ready
6,2,3,5,0,Almost Ready
6,1,0,0,1,Not Ready
5,8,2,2,0,Not Ready
15,4,3,2,1,Ready
8,4,3,0,0,Almost Ready
9,4,3,0,0,Almost Ready
3,2,0,2,0,Not Ready
5,3,3,2,0,Not Ready
15,6,1,1,0,Ready
5,7,0,3,0,Not Ready
6,8,0,5,1,Almost Ready
11,4,3,5,0,Ready
2,4,3,1,0,Not Ready
1,4,1,4,0,Not Ready
10,2,0,4,0,Almost Ready
1,4,1,5,1,Not Ready
15,7,1,5,1,Ready
1,7,2,5,0,Not Ready
7,5,1,5,0,Almost Ready
15,2,0,3,1,Almost Ready
1,5,2,5,0,Not Ready
8,4,0,3,0,Almost Ready
10,3,2,4,1,Almost Ready
15,7,2,5,0,Ready
1,5,2,2,0,Not Ready
8,8,0,4,1,Almost Ready
7,7,2,5,1,Almost Ready
15,2,1,1,1,Almost Ready
1,1,3,1,0,Not Ready
2,7,2,5,1,Not Ready
6,3,2,3,1,Almost Ready
7,7,1,5,1,Almost Ready
3,8,3,4,0,Not Ready
9,2,1,3,0,Almost Ready
2,5,1,1,1,Not Ready
5,8,0,3,0,Not Ready
10,0,1,2,0,Not Ready
8,3,2,2,0,Almost Ready
10,4,2,4,0,Ready
4,7,3,4,0,Not Ready
15,0,3,1,1,Not Ready
15,7,3,1,1,Ready
3,8,2,0,0,Not Ready
10,2,3,0,1,Almost Ready
14,5,1,2,0,Ready
11,5,1,3,0,Ready
10,5,1,4,1,Ready
9,1,2,2,1,Not Ready
11,7,2,1,1,Ready
15,7,3,2,0,Ready
8,7,0,0,0,Almost Ready
9,2,0,2,0,Almost Ready
9,1,3,0,0,Not Ready
12,4,0,3,1,Almost Ready
3,5,3,2,1,Not Ready
3,8,0,4,1,Not Ready
4,2,2,5,0,Not Ready
13,6,2,0,0,Ready
12,2,0,0,0,Almost Ready
14,6,2,5,0,Ready
2,3,2,5,1,Not Ready
14,5,3,5,0,Ready
5,7,0,5,0,Not Ready
1,6,0,3,0,Not Ready
2,8,1,5,1,Not Ready
8,4,1,5,1,Almost Ready
5,0,3,2,1,Not Ready
2,1,3,3,0,Not Ready
9,0,3,4,0,Not Ready
15,1,2,0,1,Not Ready
3,2,3,1,0,Not Ready
14,2,0,3,0,Almost Ready
12,1,2,4,1,Not Ready
8,6,1,4,0,Almost Ready
10,2,0,5,0,Almost Ready
6,5,3,1,1,Almost Ready
7,4,3,2,0,Almost Ready
14,7,1,4,0,Ready
10,6,0,3,0,Almost Ready
14,2,3,0,0,Almost Ready
4,6,3,5,1,Not Ready
10,8,2,4,0,Ready
11,4,2,3,1,Ready
8,7,0,2,1,Almost Ready
8,6,2,1,1,Almost Ready
9,2,3,0,1,Almost Ready
8,2,2,1,0,Almost Ready
12,1,0,2,0,Not Ready
6,8,2,5,0,Almost Ready
13,6,3,1,0,Ready
9,5,3,5,1,Almost Ready
11,0,3,2,1,Not Ready
5,3,3,4,0,Not Ready
5,4,3,2,0,Not Ready
7,4,3,4,1,Almost Ready
14,4,1,4,0,Ready
15,0,2,1,0,Not Ready
14,8,1,1,1,Ready
4,3,0,3,0,Not Ready
12,5,2,1,0,Ready
12,7,3,0,0,Ready
6,0,0,1,1,Not Ready
11,3,0,3,1,Almost Ready
15,5,2,3,1,Ready
9,5,1,2,1,Almost Ready
13,5,1,4,1,Ready
2,8,1,0,1,Not Ready
13,7,2,5,1,Ready
1,4,2,1,1,Not Ready
12,4,1,5,0,Ready
1,6,3,5,1,Not Ready
10,1,0,2,1,Not Ready
5,0,0,3,1,Not Ready
15,4,1,1,0,Ready
13,5,2,3,0,Ready
3,5,3,4,1,Not Ready
14,6,2,3,1,Ready
12,3,3,2,0,Almost Ready
12,8,2,0,0,Ready
2,7,2,0,1,Not Ready
13,6,1,0,1,Ready
11,2,1,4,1,Almost Ready
11,6,2,1,0,Ready
4,8,0,0,1,Not Ready
12,1,2,2,1,Not Ready
10,5,2,5,0,Ready
12,6,2,3,1,Ready
1,8,2,2,0,Not Ready
9,6,2,4,1,Almost Ready
7,2,0,0,0,Almost Ready
1,4,1,3,1,Not Ready
13,8,0,1,0,Almost Ready
12,7,2,3,0,Ready
15,4,1,3,1,Ready
5,1,0,0,0,Not Ready
15,7,0,0,0,Almost Ready
5,2,2,1,1,Not Ready
11,8,0,3,0,Almost Ready
15,5,3,2,0,Ready
1,8,1,0,0,Not Ready
5,2,2,0,0,Not Ready
13,4,2,1,1,Ready
13,6,1,1,0,Ready
9,3,0,4,0,Almost Ready
11,5,3,1,1,Ready
8,0,3,0,1,Not Ready
1,1,3,2,1,Not Ready
6,1,1,5,1,Not Ready
14,7,3,1,0,Ready
1,0,2,3,0,Not Ready
5,0,2,3,1,Not Ready
12,4,0,0,0,Almost Ready
14,8,1,4,1,Ready
13,0,2,1,1,Not Ready
4,4,0,3,0,Not Ready
9,5,3,5,1,Almost Ready
15,8,2,5,1,Ready
8,1,3,1,1,Not Ready
12,7,1,5,1,Ready
6,0,0,4,0,Not Ready
8,4,0,1,1,Almost Ready
4,7,0,3,0,Not Ready
9,7,2,2,0,Almost Ready
5,2,0,4,0,Not Ready
8,2,1,1,0,Almost Ready
14,0,1,3,0,Not Ready
1,4,0,5,0,Not Ready
2,2,3,1,0,Not Ready
4,4,1,1,1,Not Ready
1,1,2,0,1,Not Ready
3,2,3,3,1,Not Ready
12,5,3,4,1,Ready
2,8,2,3,1,Not Ready
2,3,2,3,1,Not Ready
3,8,1,5,0,Not Ready
4,5,0,4,0,Not Ready
15,8,2,3,1,Ready
12,5,3,3,0,Ready
7,5,0,4,0,Almost Ready
12,2,1,2,0,Almost Ready
4,2,1,3,1,Not Ready
15,5,1,4,1,Ready
6,2,2,1,0,Almost Ready
15,2,3,4,1,Almost Ready
3,1,3,2,0,Not Ready
11,8,3,5,1,Ready
12,4,1,3,0,Ready
6,5,2,0,1,Almost Ready
15,0,2,3,1,Not Ready
3,7,1,4,0,Not Ready
12,2,2,3,0,Almost Ready
1,3,2,5,1,Not Ready
1,3,0,1,1,Not Ready
6,7,0,5,0,Almost Ready
14,5,2,4,0,Ready
5,6,0,1,0,Not Ready
9,3,1,3,0,Almost Ready
15,0,1,2,1,Not Ready
15,5,0,5,0,Almost Ready
3,0,1,5,0,Not Ready
5,3,0,5,1,Not Ready
6,4,2,2,1,Almost Ready
9,3,3,0,1,Almost Ready
2,2,2,3,1,Not Ready
3,0,2,0,1,Not Ready
11,3,3,3,1,Almost Ready
7,0,0,3,0,Not Ready
13,4,1,2,1,Ready
14,8,2,3,1,Ready
8,0,0,2,0,Not Ready
13,6,2,5,0,Ready
3,4,1,0,1,Not Ready
3,3,1,0,1,Not Ready
2,7,1,5,0,Not Ready
14,0,3,4,0,Not Ready
15,6,1,4,1,Ready
9,6,2,4,0,Almost Ready
6,8,1,1,1,Almost Ready
10,2,2,2,1,Almost Ready
5,6,2,1,0,Not Ready
10,7,3,5,1,Ready
1,0,0,1,1,Not Ready
14,0,2,2,1,Not Ready
9,7,1,0,0,Almost Ready
8,7,3,4,0,Almost Ready
3,1,1,5,0,Not Ready
15,8,0,0,0,Almost Ready
2,4,0,2,1,Not Ready
6,5,0,2,1,Almost Ready
6,4,2,0,1,Almost Ready
10,1,3,5,0,Not Ready
13,8,0,4,0,Almost Ready
2,7,2,4,0,Not Ready
11,6,2,2,1,Ready
4,8,3,0,0,Not Ready
2,3,0,5,0,Not Ready
7,6,3,3,0,Almost Ready
10,7,0,3,0,Almost Ready
13,7,1,2,1,Ready
7,1,2,0,0,Not Ready
5,0,2,3,1,Not Ready
3,6,1,0,1,Not Ready
11,7,0,2,0,Almost Ready
3,3,2,0,1,Not Ready
2,6,0,1,0,Not Ready
8,6,0,0,1,Almost Ready
12,3,2,1,1,Almost Ready
15,2,3,3,0,Almost Ready
2,8,1,4,0,Not Ready
14,8,1,4,1,Ready
2,4,3,5,1,Not Ready
8,0,3,4,1,Not Ready
2,3,2,3,0,Not Ready
6,2,3,4,1,Almost Ready
14,8,2,5,0,Ready
13,3,1,4,0,Almost Ready
11,2,0,3,1,Almost Ready
13,4,2,0,0,Ready
6,4,2,0,0,Almost Ready
3,6,0,1,0,Not Ready
7,2,2,0,1,Almost Ready
1,3,0,3,1,Not Ready
14,8,3,2,1,Ready
13,4,2,1,0,Ready
4,6,3,1,0,Not Ready
14,7,3,5,1,Ready
10,0,0,5,0,Not Ready
9,5,3,5,1,Almost Ready
12,3,2,0,1,Almost Ready
7,1,0,2,1,Not Ready
12,0,1,1,1,Not Ready
8,1,2,0,1,Not Ready
8,3,1,5,0,Almost Ready
15,4,3,3,1,Ready
7,1,2,0,1,Not Ready
1,6,3,0,0,Not Ready
7,6,3,0,0,Almost Ready
4,3,0,5,0,Not Ready
1,0,2,0,0,Not Ready
11,6,0,2,1,Almost Ready
5,1,1,2,1,Not Ready
14,0,1,2,1,Not Ready
13,5,2,4,1,Ready
1,6,2,5,0,Not Ready
12,7,2,1,1,Ready
6,3,3,4,0,Almost Ready
7,0,1,2,1,Not Ready
12,0,1,5,0,Not Ready
15,3,1,1,0,Almost Ready
2,5,1,3,1,Not Ready
1,1,1,3,1,Not Ready
10,4,0,0,0,Almost Ready
12,3,2,0,1,Almost Ready
10,8,3,2,1,Ready
6,5,1,2,0,Almost Ready
15,5,3,3,0,Ready
3,6,0,3,0,Not Ready
6,4,2,0,1,Almost Ready
10,1,3,4,0,Not Ready
9,1,0,3,0,Not Ready
10,5,0,5,0,Almost Ready
1,0,2,0,0,Not Ready
1,7,2,4,1,Not Ready
1,3,0,4,1,Not Ready
5,3,2,2,0,Not Ready
15,4,0,0,1,Almost Ready
1,7,1,5,0,Not Ready
11,3,2,1,0,Almost Ready
2,3,1,1,1,Not Ready
4,0,2,1,0,Not Ready
10,6,1,4,0,Ready
13,2,0,5,1,Almost Ready
8,5,0,2,0,Almost Ready
6,8,1,4,1,Almost Ready
2,5,0,5,1,Not Ready
15,5,3,0,0,Ready
5,1,3,2,1,Not Ready
9,4,2,5,1,Almost Ready
5,1,1,1,1,Not Ready
5,3,2,1,1,Not Ready
6,5,1,2,0,Almost Ready
1,0,2,3,0,Not Ready
10,6,2,5,1,Ready
14,3,3,5,1,Almost Ready
2,5,2,5,1,Not Ready
3,4,2,3,0,Not Ready
2,7,3,1,0,Not Ready
4,8,1,0,1,Not Ready
1,5,2,5,1,Not Ready
10,5,2,2,1,Ready
6,0,0,4,0,Not Ready
5,2,3,0,1,Not Ready
13,6,2,2,1,Ready
9,6,0,2,1,Almost Ready
7,1,0,2,0,Not Ready
4,1,0,5,1,Not Ready
5,1,1,3,0,Not Ready
9,7,0,0,1,Almost Ready
3,2,2,5,1,Not Ready
3,7,2,3,1,Not Ready
15,5,1,1,0,Ready
5,0,0,3,0,Not Ready
13,8,3,4,1,Ready
6,0,1,0,1,Not Ready
15,5,3,5,0,Ready
12,1,2,0,0,Not Ready
1,2,2,5,0,Not Ready
2,0,2,0,1,Not Ready
5,3,3,4,0,Not Ready
8,7,1,2,1,Almost Ready
4,4,0,2,0,Not Ready
7,1,1,0,0,Not Ready
3,1,0,4,1,Not Ready
6,5,2,3,0,Almost Ready
8,7,0,3,1,Almost Ready
1,4,0,4,0,Not Ready
6,0,3,2,0,Not Ready
12,5,0,3,1,Almost Ready
11,8,2,2,1,Ready
11,5,2,4,0,Ready
15,1,2,0,0,Not Ready
14,8,1,5,0,Ready
6,3,0,5,0,Almost Ready
4,8,1,1,1,Not Ready
6,8,3,4,0,Almost Ready
3,5,0,2,0,Not Ready
6,6,0,0,1,Almost Ready
1,5,3,1,0,Not Ready
1,3,0,1,1,Not Ready
12,4,2,4,1,Ready
14,8,2,2,1,Ready
8,5,1,3,0,Almost Ready
3,2,2,2,0,Not Ready
13,7,1,2,0,Ready
12,5,0,3,0,Almost Ready
13,6,1,5,1,Ready
4,1,3,5,1,Not Ready
10,7,0,2,1,Almost Ready
2,7,0,2,0,Not Ready
7,3,0,0,0,Almost Ready
4,3,0,5,1,Not Ready
13,6,2,2,0,Ready
15,1,0,2,1,Not Ready
2,4,0,5,0,Not Ready
